query_id;plan_id;stage_id;pipeline_id;dop;query_dop;operator_type;execution_time;l_input_rows;r_input_rows;peak_mem;output_rows;child_plan
7;6;1;1;32;32;CallbackSink;12.630;3885517;0;0;0;4
7;7;1;0;4;32;PartitionedOutput;1649.110;3885517;0;37685888;3885517;5
7;8;2;3;32;32;LocalExchangeSourceOperator;908.600;11474023;0;466944;11474023;26
7;9;2;2;32;32;HashBuilderOperator;7749.170;11474023;0;51667200;0;27
7;10;2;1;32;32;ExchangeOperator;3070.144;15000000;0;11894784;15000000;29
7;11;2;1;32;32;LookupJoinOperator;3165.110;15000000;0;2140160;11474023;9,10
7;12;2;0;32;32;LocalExchangeSinkOperator;185.937;3885538;0;0;3885538;19
7;13;2;1;32;32;LookupJoinOperator;972.930;11474023;0;231424;11474023;24,11
7;14;2;0;32;32;Aggregation;12893.500;3885538;0;38920192;3885517;12
7;15;2;1;32;32;FilterProject;380.650;11474023;0;12288;11474023;13
7;16;2;0;32;32;PartitionedOutput;3037.410;3885517;0;12880384;3885517;14
7;17;2;1;32;32;PartialAggregation;14151.230;11474023;0;69582848;3885538;15
7;18;2;1;32;32;FilterProject;31.980;3885538;0;0;3885538;17
7;19;2;1;32;32;LocalExchangeSourceOperator;1015.870;3885538;0;421376;3885538;18
7;20;2;5;32;32;ExchangeOperator;0.665;100;0;1152;100;43
7;21;2;5;32;32;FilterProject;1.451;100;0;0;100;20
7;22;2;4;32;32;LocalExchangeSinkOperator;1.184;100;0;0;100;23
7;23;2;5;32;32;LocalExchangeSourceOperator;6.257;100;0;1024;100;21
7;24;2;4;32;32;HashBuilderOperator;7.202;100;0;151552;0;22
7;25;2;3;32;32;ExchangeOperator;407.544;11474023;0;3801088;11474023;37
7;26;2;3;32;32;FilterProject;27.350;11474023;0;0;11474023;25
7;27;2;2;32;32;LocalExchangeSinkOperator;88.862;11474023;0;0;11474023;8
7;28;3;0;32;32;TableScanOperator;4430.141;15000000;0;68292352;15000000;
7;29;3;0;32;32;PartitionedOutput;10040.720;15000000;0;19948800;15000000;28
7;30;4;2;32;32;FilterProject;14.580;22945256;0;0;22945256;38
7;31;4;1;32;32;LocalExchangeSinkOperator;26.059;22945256;0;0;22945256;32
7;32;4;2;32;32;LocalExchangeSourceOperator;874.130;22945256;0;4751360;22945256;30
7;33;4;1;32;32;HashBuilderOperator;10243.360;22945256;0;98582784;0;31
7;34;4;0;32;32;TableScanOperator;15260.068;148067261;0;45970944;148067261;
7;35;4;0;32;32;FilterProject;1592.220;148067261;0;13056;148067261;34
7;36;4;0;32;32;LookupJoinOperator;6664.520;148067261;0;139264;11474023;33,35
7;37;4;0;32;32;PartitionedOutput;2011.930;11474023;0;1562624;11474023;36
7;38;4;2;32;32;ExchangeOperator;895.539;22945256;0;30277632;22945256;41
